iter	timestamp	commit	combo	split_mode	n_seeds	mean_val_auc	std_val_auc	mean_val_mcc	std_val_mcc	mean_val_loss	wall_time_min	keep	note
36	2026-05-18T04:29:12	9dcc0779fe	maccs+avalon+scage2+mole	scaffold	10	0.849916	0.002625	0.534778	0.007411	0.56241	9.67	False	input feature dropout p=0.10 on raw flat input
37	2026-05-18T04:39:52	fa1fa48335	maccs+avalon+scage2+mole	scaffold	10	0.850962	0.004122	0.536177	0.007941	0.55198	9.76	False	head dropout 0.20 -> 0.30
38	2026-05-18T04:50:25	17578e2325	maccs+avalon+scage2+mole	scaffold	10	0.852038	0.003452	0.539887	0.005314	0.553785	9.34	True	Adam(wd=1e-5) -> AdamW(wd=0.01) inside train_model
39	2026-05-18T05:09:58	96ebba7da9	maccs+avalon+scage2+mole	scaffold	10	0.851899	0.003288	0.536908	0.006826	0.547693	9.33	False	AdamW wd 0.01 -> 0.03 (sweep up)
40	2026-05-18T05:20:01	2ce23f116f	maccs+avalon+scage2+mole	scaffold	10	0.851831	0.003489	0.538556	0.008092	0.564071	9.57	False	AdamW wd 0.01 -> 0.005 (sweep down)
41	2026-05-18T05:30:57	ded4dacd72	maccs+avalon+scage2+mole	scaffold	10	0.850407	0.002989	0.536051	0.010849	0.576321	9.7	False	linear lr warmup 3 epochs on AdamW stack
42	2026-05-18T05:41:36	fd817f4e73	maccs+avalon+scage2+mole	scaffold	10	0.85126	0.003589	0.538814	0.009433	0.545693	9.33	False	SGU pre-mix LayerNorm -> RMSNorm
43	2026-05-18T05:52:10	5b47fa47ec	maccs+avalon+scage2+mole	scaffold	10	0.851931	0.003347	0.539179	0.010271	0.555063	9.75	False	sigmoid skip-gate mix gated/mean pool (50/50 init)
44	2026-05-18T06:02:51	5f33209cb0	maccs+avalon+scage2+mole	scaffold	10	0.849673	0.003175	0.532992	0.007517	0.591641	9.78	False	2-layer MLP head (Linear-GELU-Linear, hidden=d_model/2)
45	2026-05-18T06:13:47	cc2733ed9d	maccs+avalon+scage2+mole	scaffold	10	0.85003	0.003033	0.533705	0.009133	0.428134	9.64	False	mixup alpha=0.2 in training loop
46	2026-05-18T06:24:42	e2514ab942	maccs+avalon+scage2+mole	scaffold	10	0.846946	0.002712	0.529818	0.008013	0.556116	9.69	False	Lookahead(k=5, alpha=0.5) around AdamW
47	2026-05-18T06:34:57	89e67c869e	maccs+avalon+scage2+mole	scaffold	10	0.851107	0.002354	0.536784	0.006096	0.573637	9.62	False	mod_drop 0.15 -> 0.10 retry on AdamW stack
48	2026-05-18T06:45:36	54743e1eb1	maccs+avalon+scage2+mole	scaffold	10	0.851981	0.003579	0.541267	0.005572	0.575285	9.9	False	DROP_V_PATH 0.10 -> 0.05 retry on AdamW stack
